force,tier,size,tightness_min_pairwise_r,sign_purity,n_pos,n_neg,usable,status,members
New Privately-Owned Housing Units Started: U,TIGHT,1,,1.0,0,1,yes,usable,New Privately-Owned Housing Units Started: U
Import Price Index (End Use): Meat Products,TIGHT,1,,1.0,1,0,yes,usable,Import Price Index
Import Price Index (End Use): Fruits and Fro,TIGHT,1,,1.0,1,0,yes,usable,Import Price Index
Import Price Index (End Use): Vegetables,TIGHT,1,,1.0,1,0,yes,usable,Import Price Index
Import Price Index (End Use): Fish and Shell,TIGHT,1,,1.0,1,0,yes,usable,Import Price Index
Import Price Index (End Use): Paper and Pape,TIGHT,1,,1.0,1,0,yes,usable,Import Price Index
Import Price Index (End Use): Lumber and Oth,TIGHT,1,,1.0,1,0,yes,usable,Import Price Index
Import Price Index (End Use): Other Precious,TIGHT,1,,1.0,1,0,yes,usable,Import Price Index
"Import Price Index (End Use): Nondurables, M",TIGHT,1,,1.0,1,0,yes,usable,Import Price Index
"Import Price Index (End Use): Toys, Games, a",TIGHT,1,,1.0,1,0,yes,usable,Import Price Index
Inflation Expectation,TIGHT,1,,1.0,1,0,yes,usable,Inflation Expectation
Future New Orders,TIGHT,1,,1.0,0,1,yes,usable,Future New Orders
Total Public Construction Spending: Power,TIGHT,1,,1.0,1,0,yes,usable,Total Public Construction Spending: Power
Producer Price Index by Industry: Carbon and,TIGHT,1,,1.0,1,0,yes,usable,Producer Price Index by Industry: Carbon and
Producer Price Index by Industry: Scheduled,TIGHT,1,,1.0,0,1,yes,usable,Producer Price Index by Industry: Scheduled
Producer Price Index by Industry: Pipeline T,TIGHT,1,,1.0,1,0,yes,usable,Producer Price Index by Industry: Pipeline T
Producer Price Index by Industry: Couriers a,TIGHT,1,,1.0,1,0,yes,usable,Producer Price Index by Industry: Couriers a
Iron Ore,TIGHT,1,,1.0,1,0,yes,usable,Iron Ore
Global lead price,TIGHT,1,,1.0,1,0,yes,usable,Global lead price
Global nickel price,TIGHT,1,,1.0,1,0,yes,usable,Global nickel price
Global tin price,TIGHT,1,,1.0,1,0,yes,usable,Global tin price
Uranium,TIGHT,1,,1.0,1,0,yes,usable,Uranium
Retailers: Inventories to Sales Ratio,TIGHT,1,,1.0,0,1,yes,usable,Retailers: Inventories to Sales Ratio
Construction spending: power,TIGHT,1,,1.0,1,0,yes,usable,Construction spending: power
Consumer Sentiment,TIGHT,1,,1.0,0,1,yes,usable,Consumer Sentiment
Finished lubricants PPI,TIGHT,1,,1.0,1,0,yes,usable,Finished lubricants PPI
Fuels and Related Products and Power: Asphal,TIGHT,1,,1.0,1,0,yes,usable,Fuels and Related Products and Power: Asphal
Chemicals and Allied Products: Paint Materia,TIGHT,1,,1.0,1,0,yes,usable,Chemicals and Allied Products: Paint Materia
Chemicals and Allied Products: Drugs and Pha,TIGHT,1,,1.0,1,0,yes,usable,Chemicals and Allied Products: Drugs and Pha
Rubber and Plastic Products: Synthetic Rubbe,TIGHT,1,,1.0,1,0,yes,usable,Rubber and Plastic Products: Synthetic Rubbe
Rubber and Plastic Products: Laminated Plast,TIGHT,1,,1.0,1,0,yes,usable,Rubber and Plastic Products: Laminated Plast
Iron ores PPI,TIGHT,1,,1.0,1,0,yes,usable,Iron ores PPI
Producer Price Index by Commodity: Metals an,TIGHT,1,,1.0,1,0,yes,usable,Producer Price Index by Commodity: Metals an
Producer Price Index by Commodity: Metals an,TIGHT,1,,1.0,1,0,yes,usable,Producer Price Index by Commodity: Metals an
Producer Price Index by Commodity for Metals,TIGHT,1,,1.0,1,0,yes,usable,Producer Price Index by Commodity for Metals
Metals and Metal Products: Nonferrous Forge,TIGHT,1,,1.0,1,0,yes,usable,Metals and Metal Products: Nonferrous Forge
Machinery and Equipment: Parts for Construct,TIGHT,1,,1.0,1,0,yes,usable,Machinery and Equipment: Parts for Construct
Machinery and Equipment: Electronic Computer,TIGHT,1,,1.0,1,0,yes,usable,Machinery and Equipment: Electronic Computer
Machinery and Equipment: Miscellaneous Instr,TIGHT,1,,1.0,1,0,yes,usable,Machinery and Equipment: Miscellaneous Instr
Machinery & metals complex,LOOSE/SAME-SIGN,26,0.4139,1.0,26,0,yes,usable,"Electrical machinery & equip. PPI; Electric power PPI; Metals and Metal Products: Metal Containers; Metals and Metal Products: Hardware; Metals and Metal Products: Heating Equipment; Metals and Metal Products: Miscellaneous Met; Metals and Metal Products: Metal Cans and Ca; Metals and Metal Products: Hardware, Not Els; Metals and Metal Products: Hand and Edge Too; Chemicals and Allied Products: Paints and Al; Chemicals and Allied Products: Other Chemica; Chemicals and Allied Products: Prepared Pain; Fuels and Related Products and Power: Reside; Machinery and Equipment; Machinery and Equipment: Agricultural Machin; Machinery and Equipment: Construction Machin; Machinery and Equipment: Metalworking Machin; Machinery and Equipment: General Purpose Mac; Machinery and Equipment: Special Industry Ma; Machinery and Equipment: Miscellaneous Machi; Machinery and Equipment: Agricultural Machin; Machinery and Equipment: Miscellaneous Const; Producer Price Index by Commodity: Fuels and; Producer Price Index by Commodity: Fuels and; Producer Price Index by Industry: Electric P; Producer Price Index by Industry: Electric P"
Metals complex,LOOSE/SAME-SIGN,17,0.5858,1.0,17,0,yes,usable,Copper PPI; Global copper price; Global aluminum price; Nonferrous wire & cable PPI; Metals and Metal Products: Nonferrous Metals; Metals and Metal Products: Nonferrous Metal; Metals and Metal Products: Primary Nonferrou; Metals and Metal Products: Nonferrous Scrap; Metals and Metal Products: Secondary Nonferr; Metals and Metal Products: Nonferrous Mill S; Producer Price Index by Commodity: Metals an; Producer Price Index by Commodity: Metals an; Producer Price Index by Commodity: Metals an; Producer Price Index by Commodity: Metals an; Import Price Index; Global price of Metal index; Global price of Industrial Materials index
Inflation expectations complex,LOOSE/SAME-SIGN,15,0.5381,1.0,15,0,yes,usable,10-Year Treasury yield; 1-Year Expected Inflation; Market Yield on U.S. Treasury Securities at; Market Yield on U.S. Treasury Securities at; Market Yield on U.S. Treasury Securities at; 10-Year Expected Inflation; 11-Year Expected Inflation; 12-Year Expected Inflation; 13-Year Expected Inflation; 14-Year Expected Inflation; 15-Year Expected Inflation; 16-Year Expected Inflation; 17-Year Expected Inflation; 18-Year Expected Inflation; 19-Year Expected Inflation
Construction complex,LOOSE/SAME-SIGN,11,0.5886,1.0,0,11,yes,usable,Authorized in Permit-Issuing Places: Total U; Authorized in Permit-Issuing Places: Single-; Started: Total Units; Started: Single-Family Units; Residential; New Privately-Owned Housing Units Authorized; New Privately-Owned Housing Units Authorized; New Privately-Owned Housing Units Authorized; New Privately-Owned Housing Units Started: S; New Privately-Owned Housing Units Started: T; New Privately-Owned Housing Units Authorized
Plastics & materials & freight complex,LOOSE/SAME-SIGN,11,0.4596,1.0,11,0,yes,usable,"Plastic products PPI; Truck Transportation; Transportation Services: Truck Transportatio; Coal, Australia; Total Manufacturing Industries; Chemicals and Allied Products: Agricultural; Rubber and Plastic Products; Rubber and Plastic Products: Plastic Constru; Rubber and Plastic Products: Unsupported Pla; Import Price Index; Import Price Index"
Import prices & chemicals complex,LOOSE/SAME-SIGN,11,0.6232,1.0,11,0,yes,usable,Aluminum mill shapes PPI; Import: Ind. Supplies & Materials; Import: Ind. Supplies & Materials; Metals and Metal Products; Chemicals and Allied Products; Chemicals and Allied Products: Industrial Ch; Chemicals and Allied Products: Plastic Resin; Chemicals and Allied Products: Basic Organic; Import Price Index; Import Price Index; Import Price Index
Steel complex,LOOSE/SAME-SIGN,10,0.4196,1.0,10,0,yes,usable,"Iron & steel PPI; Cold-rolled steel sheet; Steel mill products PPI; Steel wire PPI; Metals and Metal Products: Fabricated Struct; Metals and Metal Products: Barrels, Drums, P; Producer Price Index by Commodity: Metals an; Producer Price Index by Commodity: Metals an; Producer Price Index by Commodity: Metals an; Import Price Index"
Regional-Fed survey & orders/demand complex,LOOSE/SAME-SIGN,9,0.6447,1.0,9,0,yes,usable,Future General Activity; Future New Orders; Future Unfilled Orders; Diffusion Index for; Future Unfilled Orders; Diffusion Index for; Future Unfilled Orders; Percent Reporting In; Future Unfilled Orders; Percent Reporting In; Future General Activity; Diffusion Index for; Future General Activity; Percent Reporting I; Future General Activity; Percent Reporting I
Import prices complex,LOOSE/SAME-SIGN,7,0.6299,1.0,7,0,yes,usable,Import Price Index; Import Price Index; Import Price Index; Import Price Index; Import Price Index; Import Price Index; Import Price Index
Regional-Fed survey complex,LOOSE/SAME-SIGN,6,0.6798,1.0,0,6,yes,usable,Future Prices Paid; Future Prices Received; Future Prices Paid; Current Prices Paid; Current Prices Received; Current Prices Paid
Metals complex,LOOSE/SAME-SIGN,4,0.5935,1.0,4,0,yes,usable,Metals and Metal Products: Plumbing Fixtures; Metals and Metal Products: Vitreous China Pl; Producer Price Index by Commodity: Metals an; Producer Price Index by Commodity: Metals an
Machinery complex,LOOSE/SAME-SIGN,4,0.6902,1.0,4,0,yes,usable,"Machinery and Equipment: Tractors and Attach; Machinery and Equipment: Power Cranes, Dragl; Machinery and Equipment: Mixers, Pavers, and; Machinery and Equipment: Off-Highway, Equipm"
Steel & inflation expectations complex,LOOSE/SAME-SIGN,3,0.6208,1.0,3,0,yes,usable,Iron & steel scrap PPI; 5-Year Breakeven Inflation Rate; Producer Price Index by Commodity: Metals an
Industrial activity & orders/demand complex,LOOSE/OPPOSITE-SIGN,24,0.5198,0.75,6,18,no,opposite-sign grab-bag → split,Industrial production: manufacturing; Capacity utilization: manufacturing; New Orders: Machinery; New Orders: Fabricated Metal Products; New Orders: Primary Metals; New Orders: Durable Goods; New Orders: Total Manufacturing; New Orders: Nondefense Capital Goods Excludi; Manufacturing: Durable Goods: Primary Metal; Manufacturing: Durable Goods: Fabricated Met; Manufacturing: Durable Goods: Machinery; Manufacturing: Durable Goods: Electrical Equ; Manufacturing: Durable Goods: Iron and Steel; Manufacturing; Durable Goods Materials: Durable Goods Mater; Materials; Manufacturing: Durable Goods: Primary Metal; Manufacturing: Durable Goods: Machinery; Manufacturing: Durable Goods: Electrical Equ; Capacity Utilization: Manufacturing Excludin; Capacity Utilization: Total Excluding Comput; Industrial Production: Total Index; Industrial Production: Total Index; Industrial Production: Final Products
Rates complex,LOOSE/OPPOSITE-SIGN,7,0.6556,0.7143,2,5,no,opposite-sign grab-bag → split,10-Year Treasury Constant Maturity Minus 2-Y; 10-Year Treasury Constant Maturity Minus 3-M; Moody's Seasoned Aaa Corporate Bond Minus Fe; Moody's Seasoned Baa Corporate Bond Minus Fe; 10-Year Treasury Constant Maturity Minus Fed; 5-Year Treasury Constant Maturity Minus Fede; 10-Year Treasury Constant Maturity Minus 2-Y
Regional-Fed survey complex,LOOSE/OPPOSITE-SIGN,4,0.6805,0.75,1,3,no,opposite-sign grab-bag → split,Current General Activity; Current New Orders; Current General Activity; Diffusion Index fo; Current General Activity; Percent Reporting
