force,tier,origin,type,n_signals,members,member_ids,lead_months,raw_r,partial_r_ctrl_market,beta_signal,survival,leads,smoothing_pass,holds_pass,is_comover,verdict,status,n,episode_pass,lead_class
Rubber and Plastic Products: Laminated Plast,TIGHT,primary,single signal,1,Rubber and Plastic Products: Laminated Plast,WPU0723,0,0.6123,0.4223,,survives,no,yes,yes,yes,CO-MOVER (not a lead),scored,647,,co-mover
Future New Orders,TIGHT,primary,single signal,1,Future New Orders,NOFDISA066MSFRBNY,-6,-0.4304,-0.42,,survives,no,yes,yes,no,REVERSED,scored,281,,lags
Oil and Gas Extraction,TIGHT,primary,single signal,1,Oil and Gas Extraction,CES1021100001,-7,0.4705,0.4145,,survives,no,yes,yes,no,REVERSED,scored,634,,lags
Construction spending: power,TIGHT,primary,single signal,1,Construction spending: power,TLPWRCONS,-12,0.4064,0.3874,,survives,no,yes,yes,no,REVERSED,scored,269,,lags
Current Delivery Time,TIGHT,primary,single signal,1,Current Delivery Time,DTCDFSA066MSFRBPHI,-6,-0.3726,-0.3849,,survives,no,yes,yes,no,REVERSED,scored,679,,lags
Industrial Capacity: Utilities: Natural Gas,TIGHT,primary,single signal,1,Industrial Capacity: Utilities: Natural Gas,CAPG2212S,-23,-0.3195,-0.3665,,survives,no,yes,no,no,REVERSED,scored,678,,lags
Iron Ore,TIGHT,primary,single signal,1,Iron Ore,PIORECRUSDM,14,0.4016,0.3639,,survives,yes,yes,yes,no,PARTIAL / INCONCLUSIVE,scored,387,,true lead
Iron ores PPI,TIGHT,primary,single signal,1,Iron ores PPI,WPU1011,0,0.5945,0.3614,,survives,no,yes,yes,yes,CO-MOVER (not a lead),scored,701,,co-mover
"Manufacturers' Unfilled Orders: Ventilation,",TIGHT,primary,single signal,1,"Manufacturers' Unfilled Orders: Ventilation,",A33HUO,3,0.5495,0.3438,,survives,yes,yes,yes,yes,CO-MOVER (not a lead),scored,398,,co-mover
Global tin price,TIGHT,primary,single signal,1,Global tin price,PTINUSDM,6,0.5924,0.3417,3.1122,survives,yes,yes,yes,no,CONFIRMED,scored,395,,true lead
Machinery and Equipment: Electronic Computer,TIGHT,primary,single signal,1,Machinery and Equipment: Electronic Computer,WPU115,-1,0.4178,0.328,,survives,no,yes,yes,yes,CO-MOVER (not a lead),scored,413,,co-mover
Total Public Construction Spending: Power,TIGHT,primary,single signal,1,Total Public Construction Spending: Power,PBPWRCONS,-13,0.5242,0.321,,survives,no,yes,yes,no,REVERSED,scored,268,,lags
