observation_date,PCU5111105111102
2002-05-01,425.0
2002-06-01,425.7
2002-07-01,426.1
2002-08-01,426.3
2002-09-01,427.7
2002-10-01,428.8
2002-11-01,429.8
2002-12-01,429.7
2003-01-01,441.4
2003-02-01,441.7
2003-03-01,441.4
2003-04-01,442.7
2003-05-01,442.7
2003-06-01,444.9
2003-07-01,444.7
2003-08-01,445.9
2003-09-01,445.9
2003-10-01,447.7
2003-11-01,448.0
2003-12-01,449.0
2004-01-01,460.8
2004-02-01,461.2
2004-03-01,461.2
2004-04-01,462.4
2004-05-01,463.0
2004-06-01,463.0
2004-07-01,463.7
2004-08-01,463.7
2004-09-01,463.9
2004-10-01,462.5
2004-11-01,463.3
2004-12-01,463.2
2005-01-01,476.8
2005-02-01,478.0
2005-03-01,478.0
2005-04-01,478.1
2005-05-01,478.1
2005-06-01,478.1
2005-07-01,485.3
2005-08-01,486.6
2005-09-01,486.7
2005-10-01,489.4
2005-11-01,490.1
2005-12-01,490.3
2006-01-01,489.7
2006-02-01,494.8
2006-03-01,493.8
2006-04-01,494.4
2006-05-01,499.1
2006-06-01,497.7
2006-07-01,503.8
2006-08-01,505.8
2006-09-01,510.2
2006-10-01,510.0
2006-11-01,512.6
2006-12-01,509.6
2007-01-01,514.9
2007-02-01,515.1
2007-03-01,518.5
2007-04-01,516.2
2007-05-01,518.2
2007-06-01,516.7
2007-07-01,518.1
2007-08-01,516.9
2007-09-01,517.9
2007-10-01,519.4
2007-11-01,520.4
2007-12-01,520.2
2008-01-01,525.3
2008-02-01,526.9
2008-03-01,526.5
2008-04-01,526.3
2008-05-01,526.9
2008-06-01,526.1
2008-07-01,526.1
2008-08-01,527.1
2008-09-01,527.1
2008-10-01,529.3
2008-11-01,527.8
2008-12-01,526.5
2009-01-01,527.8
2009-02-01,527.0
2009-03-01,528.0
2009-04-01,528.4
2009-05-01,527.3
2009-06-01,528.5
2009-07-01,528.2
2009-08-01,529.2
2009-09-01,526.7
2009-10-01,529.2
2009-11-01,527.7
2009-12-01,527.7
2010-01-01,530.7
2010-02-01,528.9
2010-03-01,528.7
2010-04-01,529.5
2010-05-01,528.9
2010-06-01,528.6
2010-07-01,528.3
2010-08-01,528.8
2010-09-01,529.5
2010-10-01,529.9
2010-11-01,531.5
2010-12-01,531.1
2011-01-01,527.2
2011-02-01,531.1
2011-03-01,524.5
2011-04-01,526.7
2011-05-01,528.0
2011-06-01,528.4
2011-07-01,527.2
2011-08-01,524.7
2011-09-01,526.9
2011-10-01,526.7
2011-11-01,525.9
2011-12-01,526.1
2012-01-01,531.0
2012-02-01,528.6
2012-03-01,527.3
2012-04-01,523.7
2012-05-01,525.4
2012-06-01,526.0
2012-07-01,529.3
2012-08-01,521.9
2012-09-01,523.1
2012-10-01,524.1
2012-11-01,524.9
2012-12-01,527.1
2013-01-01,525.6
2013-02-01,527.1
2013-03-01,526.2
2013-04-01,527.2
2013-05-01,523.8
2013-06-01,524.1
2013-07-01,524.8
2013-08-01,527.0
2013-09-01,529.5
2013-10-01,529.6
2013-11-01,532.5
2013-12-01,527.0
2014-01-01,531.8
2014-02-01,536.7
2014-03-01,540.0
2014-04-01,542.7
2014-05-01,540.0
2014-06-01,541.5
2014-07-01,545.1
2014-08-01,539.9
2014-09-01,540.8
2014-10-01,539.9
2014-11-01,544.3
2014-12-01,544.6
2015-01-01,542.4
2015-02-01,545.7
2015-03-01,542.6
2015-04-01,542.5
2015-05-01,541.0
2015-06-01,540.6
2015-07-01,547.3
2015-08-01,544.8
2015-09-01,544.7
